band,ch_i,ch_j,T_obs,p_perm,p_fdr,reject_fdr,reject_fwer,T_crit_fwer
alpha,Ch1,Ch2,0.7170794160769003,0.001996007984031936,0.018629407850964733,True,True,0.31960283992818916
alpha,Ch1,Ch3,0.06194777759257198,0.7964071856287425,0.889912482726854,False,False,0.31960283992818916
alpha,Ch1,Ch4,0.23368365816322975,0.029940119760479042,0.20958083832335328,False,False,0.31960283992818916
alpha,Ch1,Ch5,0.10967225866888194,0.4550898203592814,0.8569527611443778,False,False,0.31960283992818916
alpha,Ch1,Ch6,0.09060133470712685,0.5708582834331337,0.889912482726854,False,False,0.31960283992818916
alpha,Ch1,Ch7,0.11019405933700416,0.4590818363273453,0.8569527611443778,False,False,0.31960283992818916
alpha,Ch1,Ch8,0.2016967720904045,0.08183632734530938,0.38190286094477716,False,False,0.31960283992818916
alpha,Ch2,Ch3,0.07432878084682099,0.6966067864271457,0.889912482726854,False,False,0.31960283992818916
alpha,Ch2,Ch4,0.0685430592839442,0.7385229540918163,0.889912482726854,False,False,0.31960283992818916
alpha,Ch2,Ch5,0.053769283725680864,0.8263473053892215,0.889912482726854,False,False,0.31960283992818916
alpha,Ch2,Ch6,0.060554989914994126,0.7684630738522954,0.889912482726854,False,False,0.31960283992818916
alpha,Ch2,Ch7,0.11151424591414973,0.4590818363273453,0.8569527611443778,False,False,0.31960283992818916
alpha,Ch2,Ch8,0.4173255997245107,0.001996007984031936,0.018629407850964733,True,True,0.31960283992818916
alpha,Ch3,Ch4,0.7889576881148738,0.001996007984031936,0.018629407850964733,True,True,0.31960283992818916
alpha,Ch3,Ch5,0.1823219190729558,0.13373253493013973,0.46806387225548907,False,False,0.31960283992818916
alpha,Ch3,Ch6,0.08996060594959411,0.5089820359281437,0.889912482726854,False,False,0.31960283992818916
alpha,Ch3,Ch7,0.07475321684628211,0.7385229540918163,0.889912482726854,False,False,0.31960283992818916
alpha,Ch3,Ch8,0.11697839370988555,0.3772455089820359,0.8569527611443778,False,False,0.31960283992818916
alpha,Ch4,Ch5,0.08440748920984607,0.5968063872255489,0.889912482726854,False,False,0.31960283992818916
alpha,Ch4,Ch6,0.15830419176439578,0.17964071856287425,0.5588822355289421,False,False,0.31960283992818916
alpha,Ch4,Ch7,0.2005217181689027,0.07984031936127745,0.38190286094477716,False,False,0.31960283992818916
alpha,Ch4,Ch8,0.07057076133696413,0.780439121756487,0.889912482726854,False,False,0.31960283992818916
alpha,Ch5,Ch6,0.11451759573291938,0.40119760479041916,0.8569527611443778,False,False,0.31960283992818916
alpha,Ch5,Ch7,0.11402160960348943,0.39520958083832336,0.8569527611443778,False,False,0.31960283992818916
alpha,Ch5,Ch8,0.047569764105769165,0.9301397205588823,0.9421157684630739,False,False,0.31960283992818916
alpha,Ch6,Ch7,0.04865392077542379,0.9421157684630739,0.9421157684630739,False,False,0.31960283992818916
alpha,Ch6,Ch8,0.07951980674916787,0.6946107784431138,0.889912482726854,False,False,0.31960283992818916
alpha,Ch7,Ch8,0.17140018215697583,0.11976047904191617,0.46806387225548907,False,False,0.31960283992818916
